Course-Sec,Activity,CRN,Course Name,Instructor,Day,Time,Location,Status,Waitlist
ICS 104-F72,LAB,22845,Introduction to Programming in Python and C,None,M,1400-1640,7-137,Open,Closed
ICS 104-F73,LAB,22846,Introduction to Programming in Python and C,None,W,1100-1340,7-137,Open,Closed
ICS 104-F74,LAB,22847,Introduction to Programming in Python and C,None,W,1400-1640,7-137,Closed,Closed
ICS 108-01,LEC,22849,Object-Oriented Programming,MUSTAFA ALTURKI,MW,0800-0915,22-339,Closed,Closed
ICS 108-01,LAB,22849,Object-Oriented Programming,MUSTAFA ALTURKI,MW,0930-1045,22-339,Closed,Closed
ICS 108-02,LEC,22866,Object-Oriented Programming,YAHYA GAROUT,MW,1100-1215,22-335,Closed,Open
ICS 108-02,LAB,22866,Object-Oriented Programming,YAHYA GAROUT,MW,1230-1345,22-335,Closed,Open
ICS 108-03,LEC,22850,Object-Oriented Programming,RASHAD OTHMAN,MW,1100-1215,22-339,Closed,Open
ICS 108-03,LAB,22850,Object-Oriented Programming,RASHAD OTHMAN,MW,1230-1345,22-339,Closed,Open
ICS 108-04,LEC,22864,Object-Oriented Programming,YAHYA GAROUT,MW,0800-0915,22-335,Closed,Closed
ICS 108-04,LAB,22864,Object-Oriented Programming,YAHYA GAROUT,MW,0930-1045,22-335,Closed,Closed
ICS 108-05,LEC,22865,Object-Oriented Programming,MUSTAFA ALTURKI,MW,1400-1515,22-339,Open,Closed
ICS 108-05,LAB,22865,Object-Oriented Programming,MUSTAFA ALTURKI,MW,1530-1645,22-339,Open,Closed
ICS 108-06,LEC,22867,Object-Oriented Programming,RASHAD OTHMAN,MW,1400-1515,22-335,Closed,Open
ICS 108-06,LAB,22867,Object-Oriented Programming,RASHAD OTHMAN,MW,1530-1645,22-335,Closed,Open
ICS 108-F11,LEC,22868,Object-Oriented Programming,RABEAH ALZAIDY,UT,0800-0915,7-137,Closed,Open
ICS 108-F11,LAB,22868,Object-Oriented Programming,RABEAH ALZAIDY,UT,0930-1045,7-137,Closed,Open
ICS 108-F12,LEC,22869,Object-Oriented Programming,MALAK BASLYMAN,UT,1100-1215,7-137,Open,Closed
ICS 108-F12,LAB,22869,Object-Oriented Programming,MALAK BASLYMAN,UT,1230-1345,7-137,Open,Closed
ICS 108-F13,LEC,22870,Object-Oriented Programming,RABEAH ALZAIDY,UT,1400-1515,7-137,Open,Closed
ICS 108-F13,LAB,22870,Object-Oriented Programming,RABEAH ALZAIDY,UT,1530-1645,7-137,Open,Closed
ICS 202-01,LEC,20502,Data Structures and Algorithms,HUSNI AL-MUHTASEB,UTR,0800-0850,22-125,Open,Closed
ICS 202-02,LEC,22099,Data Structures and Algorithms,WASFI AL-KHATIB,UTR,0900-0950,24-165,Closed,Open
ICS 202-03,LEC,22851,Data Structures and Algorithms,WASFI AL-KHATIB,UTR,1100-1150,22-119,Closed,Open
ICS 202-05,LEC,24070,Data Structures and Algorithms,HUSNI AL-MUHTASEB,UTR,0900-0950,22-127,Open,Closed
ICS 202-06,LEC,24071,Data Structures and Algorithms,HUSNI AL-MUHTASEB,UTR,1100-1150,23-011,Open,Closed
ICS 202-51,LAB,20503,Data Structures and Algorithms,None,U,1400-1640,22-335,Closed,Closed
ICS 202-52,LAB,20504,Data Structures and Algorithms,None,T,1400-1640,22-335,Closed,Closed
ICS 202-53,LAB,22095,Data Structures and Algorithms,None,R,1400-1640,22-335,Open,Closed
ICS 202-54,LAB,22096,Data Structures and Algorithms,None,U,1400-1640,22-339,Closed,Closed
ICS 202-55,LAB,24072,Data Structures and Algorithms,None,T,1400-1640,22-333,Closed,Closed
ICS 202-56,LAB,24073,Data Structures and Algorithms,None,R,1400-1640,22-339,Open,Closed
ICS 202-57,LAB,24074,Data Structures and Algorithms,None,U,1100-1340,22-339,Closed,Closed
ICS 253-01,LEC,22101,Discrete Structures,S AL-MUHAMMADI,UTR,0800-0850,24-158,Open,Closed
ICS 253-02,LEC,20506,Discrete Structures,S AL-MUHAMMADI,UTR,1000-1050,24-146,Closed,Open
ICS 253-03,LEC,23300,Discrete Structures,S AL-MUHAMMADI,UTR,1100-1150,24-128,Closed,Open
ICS 253-04,LEC,22100,Discrete Structures,ADEL AHMED,UTR,1000-1050,24-158,Closed,Open
ICS 309-01,LEC,21753,Computing & Society,MUHAMMAD ASLAM,MW,1400-1450,22-127,Open,Closed
ICS 321-01,LEC,24090,Database Systems,OMER ALKHANBASHI,UTR,0800-0850,24-125,Open,Closed
ICS 321-02,LEC,24091,Database Systems,OMER ALKHANBASHI,UTR,0900-0950,24-115,Open,Closed
ICS 321-03,LEC,24092,Database Systems,OMER ALKHANBASHI,UTR,1100-1150,59-2022,Open,Closed
ICS 321-05,LEC,24094,Database Systems,JAWEED YAZDANI,UTR,0900-0950,24-141,Open,Closed
ICS 343-01,LEC,22103,Fundamentals of Computer Networks,EL-SAYED EL-ALFY,UTR,0900-0950,24-240,Closed,Open
ICS 343-02,LEC,20509,Fundamentals of Computer Networks,EL-SAYED EL-ALFY,UTR,1000-1050,24-165,Closed,Open
ICS 343-03,LEC,23642,Fundamentals of Computer Networks,EL-SAYED EL-ALFY,UTR,1200-1250,22-127,Open,Closed
ICS 343-51,LAB,20954,Fundamentals of Computer Networks (Old Curriculum),None,U,1400-1640,22-347A,Closed,Closed
ICS 343-52,LAB,20510,Fundamentals of Computer Networks,None,T,1400-1640,22-347A,Closed,Closed
ICS 343-53,LAB,21293,Fundamentals of Computer Networks,None,R,1400-1640,22-347A,Closed,Closed
ICS 343-54,LAB,23643,Fundamentals of Computer Networks,None,U,1100-1340,22-347A,Open,Closed
ICS 343-55,LAB,24067,Fundamentals of Computer Networks,None,T,1100-1340,22-347A,Closed,Closed
ICS 343-56,LAB,24485,Fundamentals of Computer Networks,ADICHE HAKIM,M,1400-1640,22-347A,Closed,Closed
ICS 343-57,LAB,24486,Fundamentals of Computer Networks,ADICHE HAKIM,W,1400-1640,22-347A,Closed,Closed
ICS 344-01,LEC,24095,Information Security,MD MAHFUZUR RAHMAN,UTR,0800-0850,24-165,Open,Closed
ICS 344-02,LEC,24096,Information Security,MD MAHFUZUR RAHMAN,UTR,0900-0950,22-132,Closed,Open
ICS 344-03,LEC,24097,Information Security,FARAG AZZEDIN,UTR,1100-1150,24-158,Closed,Open
ICS 351-01,COP,21503,Cooperative Work,MOAYAD ALNAMMI,None,None,None,Open,Closed
ICS 353-01,LEC,22105,Design and Analysis of Algorithms,AHMAD AL-HERZ,UTR,1000-1050,22-119,Closed,Open
ICS 353-02,LEC,20511,Design and Analysis of Algorithms,AHMAD AL-HERZ,UTR,1200-1250,22-132,Open,Closed
ICS 353-03,LEC,22104,Design and Analysis of Algorithms,AHMAD AL-HERZ,UTR,1300-1350,24-178,Open,Closed
ICS 381-01,LEC,20512,Principles of Artificial Intelligence,MOAYAD ALNAMMI,UTR,1300-1350,22-127,Closed,Open
ICS 381-02,LEC,22106,Principles of Artificial Intelligence,MOAYAD ALNAMMI,UTR,1200-1250,24-135,Closed,Closed
ICS 410-01,LEC,21754,Programming Languages,EMAD RAMADAN,UTR,0800-0850,59-1017,Closed,Open
ICS 411-01,PRJ,21209,Senior Project,FARAG AZZEDIN,None,None,None,Open,Closed
ICS 411-02,PRJ,24587,Senior Project,None,M,0000-0001,None,Open,Closed
ICS 431-01,LEC,20514,Operating Systems,T EL-BASSUNY,UTR,1000-1050,24-128,Closed,Open
ICS 431-02,LEC,20513,Operating Systems,T EL-BASSUNY,UTR,1100-1150,24-129,Open,Closed
ICS 431-03,LEC,24068,Operating Systems,T EL-BASSUNY,UTR,1300-1350,24-149,Open,Closed
ICS 431-51,LAB,20515,Operating Systems,T EL-BASSUNY,U,1720-2000,22-336,Closed,Closed
ICS 431-52,LAB,20516,Operating Systems,T EL-BASSUNY,M,1720-2000,22-336,Closed,Closed
ICS 431-53,LAB,24069,Operating Systems,T EL-BASSUNY,T,1720-2000,22-336,Closed,Closed
ICS 431-54,LAB,24508,Operating Systems,MUHAMMAD ASLAM,W,1720-2000,22-336,Open,Closed
ICS 431-56,LAB,24510,Operating Systems,MUHAMMAD ASLAM,M,1720-2000,22-335,Open,Closed
ICS 433-01,LEC,24369,Operating Systems,T EL-BASSUNY,UTR,1000-1050,22-130,Closed,Closed
ICS 433-51,LAB,24370,Operating Systems,T EL-BASSUNY,R,1720-2000,22-336,Closed,Closed
ICS 442-01,LEC,22854,Penetration Testing and Ethical Hacking,EMAD RAMADAN,UTR,0900-0950,22-125,Closed,Open
ICS 445-01,LEC,23303,Network Management and Security,FAKHRI ALAM KHAN,MW,1400-1515,23-011,Closed,Open
ICS 472-01,LEC,23689,Natural Language Processing,AHMAD IRFAN,UT,1400-1515,24-137,Open,Closed
ICS 474-01,LEC,22855,Big Data Analytics,ADAM SALAHADIN,UT,1230-1345,24-115,Closed,Open
ICS 483-01,LEC,22856,Computer Vision,MUHAMMAD USMAN,UT,1230-1345,22-134,Open,Closed
ICS 502-01,LEC,24098,Machine Learning,S ARAFAT,UT,1720-1835,24-125,Closed,Closed
ICS 504-01,LEC,22921,Deep Learning,HAMZAH LUQMAN,UT,1720-1835,59-1011,Closed,Closed
ICS 504-02,LEC,22922,Deep Learning,HAMZAH LUQMAN,UT,1845-2000,24-125,Closed,Closed
ICS 505-01,LEC,22923,Computer Vision,MUHAMMAD USMAN,UT,2010-2125,24-125,Closed,Closed
ICS 507-01,LEC,24099,Design & Anals of Parallel Alg,WASFI AL-KHATIB,UT,1845-2000,24-146,Closed,Closed
ICS 535-01,LEC,24100,Des & Impl Of Prog Languages,MD MAHFUZUR RAHMAN,UT,1720-1835,24-135,Closed,Open
ICS 557-01,LEC,23508,Advanced Machine Learning,HAMOOD AL-JAMAAN,MW,1845-2000,59-2009,Closed,Open
ICS 571-01,LEC,24511,Client Server Programming,FARAG AZZEDIN,MW,1720-1835,24-156,Open,Closed
ICS 574-01,LEC,22859,Big Data Analytics,ADAM SALAHADIN,MW,1845-2000,24-125,Closed,Closed
ICS 574-02,LEC,23311,Big Data Analytics,ADAM SALAHADIN,UT,1825-1940,24-137,Closed,Closed
ICS 574-03,LEC,23312,Big Data Analytics,JESUS IGOR BARAHONA TORRES,UT,2010-2125,24-137,Closed,Closed
ICS 582-01,LEC,24371,Natural Language Processing,AHMAD IRFAN,UT,2010-2125,24-151,Closed,Open
ICS 599-01,SEM,21164,Seminar,IMANE BOUDELLIOUA,T,1430-1545,22-130,Open,Closed
ICS 610-01,THS,20517,Thesis,MOHAMMAD ALSHAYEB,None,None,None,Closed,Closed
ICS 699-01,SEM,21643,Seminar,IMANE BOUDELLIOUA,T,1430-1545,22-130,Open,Closed
ICS 711-01,DIS,21644,PhD Pre-Dissertation,MOHAMMAD ALSHAYEB,None,None,None,Closed,Closed
ICS 712-01,DIS,21838,PhD. Dissertation,MOHAMMAD ALSHAYEB,None,None,None,Closed,Closed
SEC 521-01,LEC,24101,Network Security,MOHAMMAD HAMMOUDEH,UT,1845-2000,24-153,Closed,Closed
SEC 542-01,LEC,22925,Penetration Testing and Ethical Hacking,EMAD RAMADAN,UT,1720-1835,59-2002,Closed,Closed
SEC 599-01,SEM,21645,Graduate Seminar,IMANE BOUDELLIOUA,T,1430-1545,22-130,Open,Closed
SEC 610-01,THS,21646,Thesis,MOHAMMAD ALSHAYEB,None,None,None,Closed,Closed
SWE 206-01,LEC,23313,Introduction to Software Engineering,SAJJAD MAHMOOD,MW,0800-0850,23-011,Open,Closed
SWE 206-02,LEC,23314,Introduction to Software Engineering,SAJJAD MAHMOOD,MW,0900-0950,22-127,Open,Closed
SWE 206-03,LEC,23644,Introduction to Software Engineering,SAJJAD MAHMOOD,MW,1100-1150,22-125,Closed,Open
SWE 206-04,LEC,24075,Introduction to Software Engineering,SAJJAD MAHMOOD,MW,1300-1350,22-132,Closed,Closed
SWE 206-51,LAB,23315,Introduction to Software Engineering,None,U,1400-1640,22-334,Closed,Closed
SWE 206-52,LAB,23316,Introduction to Software Engineering,None,M,1400-1640,22-334,Closed,Closed
SWE 206-53,LAB,23645,Introduction to Software Engineering,None,T,1400-1640,22-334,Closed,Closed
SWE 206-54,LAB,24078,Introduction to Software Engineering,None,W,1400-1640,22-334,Closed,Closed
SWE 206-55,LAB,24079,Introduction to Software Engineering,None,R,1400-1640,22-334,Closed,Closed
SWE 216-01,LEC,23317,Software Requirements Engineering,Y HASSAN,MW,1000-1115,24-137,Closed,Closed
SWE 216-02,LEC,23318,Software Requirements Engineering,Y HASSAN,MW,1230-1345,24-137,Closed,Closed
SWE 302-01,LEC,24103,Game Programming,MUHAMMAD USMAN,UTR,1100-1150,24-250,Closed,Open
SWE 311-01,LEC,20518,Principes of Software Engineering,SAJJAD MAHMOOD,UTR,0800-0850,24-137,Open,Closed
SWE 311-51,LAB,20519,Principes of Software Engineering,None,T,1720-2000,22-334,Open,Closed
SWE 316-01,LEC,20955,Software Design and Construction,KHALID AL-JASER,UTR,1000-1050,22-127,Closed,Closed
SWE 316-02,LEC,24082,Software Design and Construction,KHALID AL-JASER,UTR,1100-1150,59-2017,Open,Closed
SWE 326-01,LEC,20520,Software Testing,MOHAMMAD AMRO,UTR,0800-0850,59-2002,Open,Closed
SWE 326-02,LEC,22108,Software Testing,MOHAMMAD AMRO,UTR,0900-0950,24-153,Closed,Closed
SWE 326-03,LEC,24083,Software Testing,JAMELEDDINE HASSINE,UTR,1100-1150,24-116,Closed,Open
SWE 326-04,LEC,24084,Software Testing,MOATAZ AHMED,UTR,0800-0850,22-119,Open,Closed
SWE 326-05,LEC,24085,Software Testing,MOATAZ AHMED,UTR,1000-1050,23-014,Closed,Open
SWE 363-01,LEC,20521,Web Engineering & Development,ISMAIL ALA ADDIN,MW,0830-0945,24-115,Open,Closed
SWE 363-02,LEC,21852,Web Engineering & Development,ISMAIL ALA ADDIN,MW,1000-1115,24-128,Open,Closed
SWE 363-03,LEC,24086,Web Engineering & Development,MD MUSFIQUE ANWAR,MW,0830-0945,24-240,Open,Closed
SWE 363-04,LEC,24518,Web Engineering & Development,MD MUSFIQUE ANWAR,MW,1000-1115,22-119,Closed,Open
SWE 387-01,LEC,20522,Software Project Management,MOHAMMAD ALSHAYEB,MW,1000-1115,23-014,Closed,Open
SWE 387-02,LEC,21853,Software Project Management,MOHAMMAD ALSHAYEB,MW,1230-1345,22-125,Closed,Open
SWE 411-01,LPJ,24439,Software Engineering Project I,None,W,1720-2000,24-240,Closed,Closed
SWE 417-01,LPJ,22094,Software Engineering Project I,MOHAMMAD ALSHAYEB,R,1720-2000,24-153,Open,Closed
SWE 418-01,PRJ,20956,Software Engineering Project II,HAMOOD AL-JAMAAN,R,1720-2000,24-125,Open,Closed
SWE 418-02,PRJ,22109,Software Engineering Project II,JAMELEDDINE HASSINE,R,1720-2000,24-135,Open,Closed
SWE 418-03,PRJ,22110,Software Engineering Project II,MAHMOUD NIAZI,R,1720-2000,24-146,Open,Closed
SWE 418-04,PRJ,24087,Software Engineering Project II,MOATAZ AHMED,R,1720-2000,22-119,Open,Closed
SWE 418-05,PRJ,24088,Software Engineering Project II,Y HASSAN,R,1720-2000,22-121,Closed,Open
SWE 445-01,LEC,22863,Secure Software Development,MAHMOUD NIAZI,MW,1000-1115,24-153,Closed,Open
SWE 455-01,LEC,24105,Cloud Applications Engineering,FAKHRI ALAM KHAN,MW,1230-1345,24-153,Closed,Open
SWE 526-01,LEC,24106,"Software Valid.,Vari. & QA",JAMELEDDINE HASSINE,UT,1845-2000,24-158,Open,Closed
SWE 531-01,LEC,24372,Secure Software,MAHMOUD NIAZI,MW,2010-2125,22-125,Open,Closed
SWE 555-01,LEC,24107,Embedded Software Engineering,MD MUSFIQUE ANWAR,MW,1720-1835,24-137,Closed,Closed
SWE 599-01,SEM,21647,Seminar,IMANE BOUDELLIOUA,T,1430-1545,24-151,Open,Closed
SWE 610-01,THS,21648,Thesis,MOHAMMAD ALSHAYEB,None,None,None,Closed,Closed
MIS 101-01,LAB,22650,Business Computing,MOHAMMED ALSUBAIE,U,1520-1810,24-278,Closed,Closed
MIS 101-02,LAB,22651,Business Computing,MOHAMMED ALSUBAIE,T,1520-1810,24-278,Open,Closed
MIS 215-02,LEC,20384,Principles of Management Information Systems,MAZEN SHAWOSH,MW,0930-1045,24-151,Open,Closed
MIS 215-04,LEC,20385,Principles of Management Information Systems,IBRAHIM AL-JABRI,UT,1230-1345,24-116,Closed,Open
MIS 215-05,LEC,21983,Principles of Management Information Systems,A Al-Ojairi,MW,1400-1515,24-149,Closed,Open
MIS 215-06,LEC,23622,Principles of Management Information Systems,A NEHARI-TALET,MW,1230-1345,24-149,Open,Closed
MIS 215-F07,LEC,20383,Principles of Management Information Systems,LIN LI,MW,1400-1515,7-102,Open,Closed
MIS 300-01,LEC,20386,Fundamentals of Electronic Commerce,MUSTAFA AHMED,MW,1100-1150,24-174,Closed,Open
MIS 300-01,LAB,20386,Fundamentals of Electronic Commerce,MUSTAFA AHMED,R,0800-0950,24-277,Closed,Open
MIS 301-01,LEC,20989,Systems Analysis & Design,A NEHARI-TALET,MW,1400-1450,24-151,Open,Closed
MIS 301-01,LAB,20989,Systems Analysis & Design,A NEHARI-TALET,M,1520-1710,24-277,Open,Closed
MIS 311-01,LEC,20990,Business Data Management,JONGTAE YU,UT,1400-1450,24-149,Open,Closed
MIS 311-01,LAB,20990,Business Data Management,JONGTAE YU,T,1520-1710,24-277,Open,Closed
MIS 351-01,COP,20387,Cooperative Work,MUSTAFA AHMED,None,None,None,Open,Closed
MIS 365-01,LEC,23004,Blockchain Fundamentals in Business,MUSTAFA AHMED,MW,1230-1345,63-362,Closed,Open
MIS 380-01,LEC,23492,IS Security,SALEH AL-WAHAISHI,UT,1100-1215,24-115,Open,Closed
MIS 398-01,INT,23932,Internship,None,None,None,None,Open,Closed
MIS 405-02,LEC,23669,IS Project Management,IBRAHIM AL-JABRI,UT,1400-1515,24-240,Open,Closed
MIS 410-01,LEC,21686,Management Support Systems,MUHAMMAD AL-KHALDI,MW,1000-1050,24-240,Open,Closed
MIS 410-51,LAB,20388,Management Support Systems,MOHAMMED ALSUBAIE,M,1520-1710,24-278,Open,Closed
MIS 442-01,LEC,23401,Data Analytics Applications,MAZEN SHAWOSH,MW,0800-0915,24-137,Open,Closed
MIS 511-01,LEC,21985,Information Technology in Organizations,LIN LI,MW,1720-1835,24-165,Open,Closed
MIS 542-01,LEC,23402,Advanced Business Analytics,MOUSA AL-BASHRAWI,UT,1845-2000,59-2003,Open,Closed
MIS 564-01,LEC,23773,Electronic Business Strategy,None,None,None,None,Closed,Closed
MIS 619-01,PRJ,23792,Project,None,None,None,None,Closed,Closed
MIS 619-02,PRJ,23793,Project,None,None,None,None,Closed,Closed
OM  210-01,LEC,22898,Operations Management,AHMAD AL-NASSER,MW,0930-1045,24-244,Closed,Closed
OM  210-03,LEC,20403,Operations Management,AHMAD AL-NASSER,UT,1230-1345,23-011,Closed,Open
OM  210-04,LEC,22561,Operations Management,ABDULLAH HATHLOUL,MW,1600-1715,24-125,Open,Closed
OM  210-06,LEC,24456,Operations Management,AHMAD AL-NASSER,UT,1100-1215,24-277,Closed,Open
OM  311-01,LEC,22507,Business Analytics,MUHAMMAD AL-KHALDI,MW,1100-1215,24-240,Closed,Open
OM  311-03,LEC,22562,Business Analytics,JESUS IGOR BARAHONA TORRES,UT,1400-1515,24-165,Closed,Open
OM  311-04,LEC,24388,Business Analytics,MAJED FALLATAH,MW,1230-1345,24-165,Closed,Open
OM  311-05,LEC,24389,Business Analytics,MAJED FALLATAH,MW,1400-1515,24-244,Open,Closed
OM  311-06,LEC,24438,Business Analytics,MAJED FALLATAH,UT,1100-1215,24-156,Open,Closed
OM  423-01,LEC,22900,Logistics and Transportation Management,AHMAD AL-NASSER,MW,0800-0915,24-151,Closed,Closed
OM  430-01,LEC,24390,Supply Chain Management,MAJED FALLATAH,UT,1230-1345,24-151,Open,Closed
OM  511-03,LEC,22565,Management Science,JESUS IGOR BARAHONA TORRES,UT,1845-2000,24-135,Open,Closed
OM  513-01,LEC,21688,Operations and Supply Chain Management,AIMAN KAYYAL,UT,1720-1835,24-153,Open,Closed
OM  530-01,LEC,23649,Supply Chain Management,AIMAN KAYYAL,UT,1845-2000,24-149,Open,Closed
OM  532-01,LEC,22996,ERP for  Supply Chains,JONGTAE YU,UT,1720-1835,59-1008,Closed,Closed
OM  552-01,LEC,23777,Operations Management,None,None,None,None,Closed,Closed
OM  619-01,PRJ,23822,Project,None,None,None,None,Closed,Closed
OM  619-02,PRJ,23823,Project,None,None,None,None,Closed,Closed
AS  251-01,LEC,23195,Maths of Financial Derivatives,ALI DUMAN,UT,1000-1050,6-105,Open,Closed
AS  251-01,LAB,23195,Maths of Financial Derivatives,ALI DUMAN,R,0800-0950,6-106,Open,Closed
AS  289-01,LAB,22528,Actuarial Science Problem Lab I,DHAKER KROUMI,U,0800-0950,6-258,Open,Closed
AS  351-01,COP,21167,Cooperative Work,E. AL-SAWI,None,None,None,Open,Closed
AS  398-01,INT,23919,Internship,E. AL-SAWI,None,None,None,Open,Closed
AS  450-01,LEC,23196,Risk Modeling,MOHAMMAD OMAR,UT,1000-1050,6-201,Open,Closed
AS  450-01,LAB,23196,Risk Modeling,MOHAMMAD OMAR,R,0800-0950,6-258,Open,Closed
AS  484-01,LEC,24218,Actuarial Risk Theory & Credib,ALI DUMAN,UTR,0700-0750,59-1005,Open,Closed
AS  484-01,LAB,24218,Actuarial Risk Theory & Credib,ALI DUMAN,T,0800-0950,6-258,Open,Closed
AS  491-01,LEC,24219,Topics in AS & Fin. Math. II,S BOUBAKER,UTR,1200-1250,6-201,Open,Closed
MATH101-01,REC,20001,Calculus I,FIRAS MELAIH,M,0800-0850,5-101,Closed,Open
MATH101-01,LEC,20001,Calculus I,BADER AL-HUMIDI,UTR,0800-0850,63-331,Closed,Open
MATH101-02,REC,20961,Calculus I,FIRAS MELAIH,M,0900-0950,5-101,Closed,Open
MATH101-02,LEC,20961,Calculus I,BADER AL-HUMIDI,UTR,0800-0850,63-331,Closed,Open
MATH101-03,REC,20002,Calculus I,FIRAS MELAIH,M,1000-1050,5-101,Closed,Open
MATH101-03,LEC,20002,Calculus I,BADER AL-HUMIDI,UTR,0800-0850,63-331,Closed,Open
MATH101-04,REC,24489,Calculus I,None,W,1100-1150,22-231,Open,Closed
MATH101-04,LEC,24489,Calculus I,FAISAL FAIRAG,UTR,1200-1250,24-121,Open,Closed
MATH101-05,REC,24490,Calculus I,None,W,1200-1250,22-231,Open,Closed
MATH101-05,LEC,24490,Calculus I,FAISAL FAIRAG,UTR,1200-1250,24-121,Open,Closed
MATH101-F31,REC,20004,Calculus I,SHAHAD ALDOSSARY,M,0800-0850,7-225,Open,Closed
MATH101-F31,LEC,20004,Calculus I,HUSAIN AL-ATTAS,UTR,1000-1050,7-121,Open,Closed
MATH101-F32,REC,23880,Calculus I,SHAHAD ALDOSSARY,M,0900-0950,7-225,Closed,Closed
MATH101-F32,LEC,23880,Calculus I,HUSAIN AL-ATTAS,UTR,1000-1050,7-121,Closed,Closed
MATH102-01,REC,20006,Calculus II,YUSSIF YAHAYA,M,0800-0850,22-231,Closed,Closed
MATH102-01,LEC,20006,Calculus II,KHALID AL-SHAMMARI,UTR,0800-0850,24-121,Closed,Closed
MATH102-02,REC,20009,Calculus II,YUSSIF YAHAYA,M,0900-0950,22-231,Closed,Closed
MATH102-02,LEC,20009,Calculus II,KHALID AL-SHAMMARI,UTR,0800-0850,24-121,Closed,Closed
MATH102-03,REC,20012,Calculus II,YUSSIF YAHAYA,M,1000-1050,22-231,Closed,Closed
MATH102-03,LEC,20012,Calculus II,KHALID AL-SHAMMARI,UTR,0800-0850,24-121,Closed,Closed
MATH102-04,REC,20008,Calculus II,NAIM SHEHU,W,0800-0850,5-101,Closed,Open
MATH102-04,LEC,20008,Calculus II,KHALID AL-SHAMMARI,UTR,0900-0950,24-121,Closed,Open
MATH102-05,REC,20022,Calculus II,NAIM SHEHU,W,0900-0950,5-101,Closed,Closed
MATH102-05,LEC,20022,Calculus II,KHALID AL-SHAMMARI,UTR,0900-0950,24-121,Closed,Closed
MATH102-06,REC,20005,Calculus II,NAIM SHEHU,W,1000-1050,5-101,Closed,Open
MATH102-06,LEC,20005,Calculus II,KHALID AL-SHAMMARI,UTR,0900-0950,24-121,Closed,Open
MATH102-07,REC,20007,Calculus II,SIAKA JAWARA,W,1100-1150,5-101,Closed,Open
MATH102-07,LEC,20007,Calculus II,SAEED AL-GARNI,UTR,1000-1050,59-1001,Closed,Open
MATH102-08,REC,20011,Calculus II,SIAKA JAWARA,W,1200-1250,5-101,Closed,Open
MATH102-08,LEC,20011,Calculus II,SAEED AL-GARNI,UTR,1000-1050,59-1001,Closed,Open
MATH102-09,REC,20014,Calculus II,SIAKA JAWARA,W,1300-1350,5-101,Closed,Closed
MATH102-09,LEC,20014,Calculus II,SAEED AL-GARNI,UTR,1000-1050,59-1001,Closed,Closed
MATH102-10,REC,20017,Calculus II,KAWSU DARBOE,M,1100-1150,5-101,Closed,Open
MATH102-10,LEC,20017,Calculus II,SAEED AL-GARNI,UTR,1100-1150,24-121,Closed,Open
MATH102-11,REC,20024,Calculus II,KAWSU DARBOE,M,1200-1250,5-101,Closed,Open
MATH102-11,LEC,20024,Calculus II,SAEED AL-GARNI,UTR,1100-1150,24-121,Closed,Open
MATH102-12,REC,20013,Calculus II,KAWSU DARBOE,M,1300-1350,5-101,Closed,Open
MATH102-12,LEC,20013,Calculus II,SAEED AL-GARNI,UTR,1100-1150,24-121,Closed,Open
MATH102-13,REC,20023,Calculus II,YONGKY PRANADA,M,0800-0850,5-202,Closed,Open
MATH102-13,LEC,20023,Calculus II,J AL-SMAIL,UTR,0700-0750,59-1001,Closed,Open
MATH102-14,REC,20021,Calculus II,YONGKY PRANADA,M,0900-0950,5-202,Closed,Open
MATH102-14,LEC,20021,Calculus II,J AL-SMAIL,UTR,0700-0750,59-1001,Closed,Open
MATH102-15,REC,20020,Calculus II,YONGKY PRANADA,M,1000-1050,5-202,Closed,Closed
MATH102-15,LEC,20020,Calculus II,J AL-SMAIL,UTR,0700-0750,59-1001,Closed,Closed
MATH102-16,REC,20015,Calculus II,SHAFIQ ABASS,W,0800-0850,5-202,Closed,Open
MATH102-16,LEC,20015,Calculus II,J AL-SMAIL,UTR,0900-0950,63-331,Closed,Open
MATH102-17,REC,20016,Calculus II,SHAFIQ ABASS,W,0900-0950,5-202,Closed,Open
MATH102-17,LEC,20016,Calculus II,J AL-SMAIL,UTR,0900-0950,63-331,Closed,Open
MATH102-18,REC,21514,Calculus II,SHAFIQ ABASS,W,1000-1050,5-202,Closed,Open
MATH102-18,LEC,21514,Calculus II,J AL-SMAIL,UTR,0900-0950,63-331,Closed,Open
MATH102-19,REC,20019,Calculus II,MOHAMMED DAMAJ,W,1100-1150,5-202,Open,Closed
MATH102-19,LEC,20019,Calculus II,BRAHIM MEZERDI,UTR,1300-1350,59-1001,Open,Closed
MATH102-20,REC,20018,Calculus II,MOHAMMED DAMAJ,W,1200-1250,5-202,Open,Closed
MATH102-20,LEC,20018,Calculus II,BRAHIM MEZERDI,UTR,1300-1350,59-1001,Open,Closed
MATH102-21,REC,20010,Calculus II,MOHAMMED DAMAJ,W,1300-1350,5-202,Closed,Closed
MATH102-21,LEC,20010,Calculus II,BRAHIM MEZERDI,UTR,1300-1350,59-1001,Closed,Closed
MATH102-22,REC,20962,Calculus II,SULYMAN IYANDA,M,1100-1150,5-202,Open,Closed
MATH102-22,LEC,20962,Calculus II,M AL-SHAHRANI,UTR,1200-1250,24-120,Open,Closed
MATH102-23,REC,21515,Calculus II,SULYMAN IYANDA,M,1200-1250,5-202,Closed,Open
