Course-Sec,Activity,CRN,Course Name,Instructor,Day,Time,Location,Status,Waitlist
COE 292-13,LEC,23349,Introduction to Artificial Intelligence,AHMED AL-MULHEM,MW,0800-0915,24-178,Closed,Open
COE 292-14,LEC,23350,Introduction to Artificial Intelligence,M. MAHMOUD,MW,0830-0945,59-2004,Closed,Open
COE 292-15,LEC,23351,Introduction to Artificial Intelligence,M. MAHMOUD,MW,1000-1115,24-236A,Closed,Open
COE 292-16,LEC,24467,Introduction to Artificial Intelligence,LOUAI AL-AWAMI,UTR,1100-1150,22-132,Closed,Open
COE 292-17,LEC,24484,Introduction to Artificial Intelligence,AYAZ KHAN,UTR,1000-1050,24-249,Open,Closed
COE 292-18,LEC,24504,Introduction to Artificial Intelligence,MUHAMAD FELEMBAN,UTR,1200-1250,24-141,Closed,Closed
COE 292-19,LEC,24527,Introduction to Artificial Intelligence,AHMAD AKRAM,MW,0930-1045,59-2011,Closed,Closed
COE 292-20,LEC,24529,Introduction to Artificial Intelligence,LOUAI AL-AWAMI,UTR,0800-0850,24-156,Open,Closed
COE 301-01,LEC,21133,Computer Organization,M. MUDAWWAR,UTR,0800-0850,76-2233,Open,Closed
COE 301-02,LEC,22118,Computer Organization,M. MUDAWWAR,UTR,1100-1150,24-165,Closed,Open
COE 301-03,LEC,24461,Computer Organization,M. MUDAWWAR,UTR,1000-1050,24-156,Closed,Closed
COE 301-51,LAB,21134,Computer Organization,SALEH ALSALEH,U,1400-1640,22-333,Open,Closed
COE 301-52,LAB,21135,Computer Organization,HAZIM SELMI,T,1400-1640,22-340,Closed,Closed
COE 301-53,LAB,22114,Computer Organization,SALEH ALSALEH,M,1400-1640,22-333,Closed,Closed
COE 301-54,LAB,24462,Computer Organization,SALEH ALSALEH,W,1400-1640,22-333,Closed,Closed
COE 301-55,LAB,24494,Computer Organization,SALEH ALSALEH,M,1100-1340,22-347A,Closed,Closed
COE 302-01,LEC,24137,Dsgn & Modeling of Digital Sys,ALI AL-SUWAIYAN,UTR,0800-0850,24-146,Open,Closed
COE 306-01,LEC,22119,Introduction to Embedded Systems,ABDUL JABBAR SIDDIQUI,UTR,0900-0950,24-146,Open,Closed
COE 306-52,LAB,21765,Introduction to Embedded Systems,HAZIM SELMI,M,1400-1640,22-347B,Closed,Closed
COE 344-01,LEC,21634,Computer Networks,A. BARNAWI,UTR,1000-1050,24-244,Open,Closed
COE 344-51,LAB,20914,Computer Networks,ADICHE HAKIM,M,1400-1640,22-347A,Open,Closed
COE 344-52,LAB,22113,Computer Networks,ADICHE HAKIM,W,1400-1640,22-347A,Closed,Closed
COE 346-01,LEC,24139,Computer & Network Security,AHMED AL-MULHEM,MW,1100-1215,22-121,Open,Closed
COE 351-01,COP,20466,Cooperative Work,TALAL AL-KHAROBI,None,None,None,Open,Closed
COE 384-01,LEC,24135,Fundamentals of COE Design,AHMAD AKRAM,UT,1230-1345,59-2022,Closed,Closed
COE 384-51,LAB,24136,Fundamentals of COE Design,AHMAD AKRAM,T,1400-1640,22-339,Closed,Closed
COE 405-01,LEC,24138,Dsgn & Modeling:Digital Systs,ALI AL-SUWAIYAN,UTR,0800-0850,24-146,Open,Closed
COE 444-01,LEC,23518,Network Design,T. SHELTAMI,UT,1100-1215,22-335,Open,Closed
COE 451-01,LEC,23601,Computer & Network Security,AHMED AL-MULHEM,MW,1100-1215,22-121,Closed,Closed
COE 453-01,LEC,23355,Cloud and Edge Computing,Y OSAIS,MW,0800-0915,24-156,Closed,Closed
COE 453-02,LEC,24140,Cloud and Edge Computing,Y OSAIS,MW,0930-1045,24-156,Closed,Closed
COE 454-01,LEC,23356,Internet of Things,LOUAI AL-AWAMI,UTR,0900-0950,22-130,Closed,Closed
COE 485-01,PRJ,20467,Senior Design Project,ABDEL-AZIZ TABAKH,M,1700-1750,22-119,Open,Closed
COE 501-01,LEC,23357,Computer Architecture,ABDEL-AZIZ TABAKH,UT,2010-2125,59-1010,Open,Closed
COE 511-01,LEC,22938,Multi-agent Robotic Networks,UTHMAN BAROUDI,UT,1720-1835,59-1005,Closed,Closed
COE 523-01,LEC,24141,Distributed Computing,AYAZ KHAN,UT,1720-1835,59-1016,Closed,Closed
COE 523-02,LEC,24577,Distributed Computing,AYAZ KHAN,UT,1720-1835,59-1016,Open,Closed
COE 530-01,LEC,22939,Quantum Computer and Architecture,MUHAMAD FELEMBAN,UT,1845-2000,59-1009,Closed,Closed
COE 544-01,LEC,24142,Wireless Ad hoc Networks,UTHMAN BAROUDI,UT,2010-2125,22-121,Open,Closed
COE 546-01,LEC,21635,Computer Network Design,T. SHELTAMI,UT,1720-1835,22-335,Closed,Closed
COE 546-02,LEC,24578,Computer Network Design,T. SHELTAMI,UT,1720-1835,22-335,Open,Closed
COE 547-01,LEC,23359,Network Management,A. BARNAWI,UT,1845-2000,59-1014,Closed,Closed
COE 547-02,LEC,24579,Network Management,A. BARNAWI,UT,1845-2000,59-1014,Open,Closed
COE 559-01,LEC,24143,ST. in Comp. Networks & Secu.,EHAB AL-SHAER,MW,2010-2125,22-121,Open,Closed
COE 599-01,SEM,20468,Seminar,Y OSAIS,W,1430-1630,22-132,Open,Closed
COE 606-01,RES,24495,Independent Research,EHAB AL-SHAER,None,None,None,Open,Closed
COE 610-01,THS,20469,Computer Engineering Masters Thesis,MOHAMED ELRABAA,None,None,None,Open,Closed
COE 699-01,SEM,21636,Seminar,Y OSAIS,W,1430-1630,22-132,Open,Closed
COE 711-01,DIS,21637,PhD. Pre-Dissertation,ASHRAF MAHMOUD,None,None,None,Open,Closed
COE 712-01,DIS,21638,PhD. Dissertation,ASHRAF MAHMOUD,None,None,None,Open,Closed
CSE 699-01,SEM,20470,Seminar,Y OSAIS,W,1430-1630,22-132,Closed,Closed
CPG 499-01,PRJ,22662,Integrated Design II,None,None,None,None,Closed,Open
CPG 499-02,PRJ,22663,Integrated Design II,None,None,None,None,Closed,Closed
CPG 499-03,PRJ,22664,Integrated Design II,None,None,None,None,Closed,Closed
CPG 499-04,PRJ,22665,Integrated Design II,None,None,None,None,Open,Closed
CPG 499-05,PRJ,22666,Integrated Design II,None,None,None,None,Open,Closed
CPG 499-06,PRJ,23682,Integrated Design II,None,None,None,None,Open,Closed
CPG 555-01,LEC,23077,Artificial Intelligence for Petroleum Engineers & Geoscientists,None,UT,1720-1835,76-1128,Open,Closed
CP  421-01,LEC,23521,Urban Infrastructure Systems,YOSE KADRIN,MW,1100-1215,19-405,Open,Closed
CRP 505-01,LEC,20921,Statistical Analysis in Planning,MUHAMMAD RAHMAN,UT,1845-2000,19-405,Open,Closed
CRP 505-02,LEC,22750,Statistical Analysis in Planning,ADEL AL-DOSARY,MW,1720-1835,24-180,Open,Closed
CRP 505-03,LEC,23065,Statistical Analysis in Planning,ADEL AL-DOSARY,MW,1845-2000,19-413,Open,Closed
CRP 514-01,LEC,24155,Geographic Information Systems,BAQER AL-RAMADAN,MW,2010-2125,19-413,Open,Closed
CRP 515-01,LEC,24156,Advanced Topics in GIS,MUHAMMAD RAHMAN,MW,1845-2000,19-416,Open,Closed
CRP 535-01,LEC,24157,Urban Infrastructure Planning,YOSE KADRIN,MW,1720-1835,24-178,Open,Closed
CRP 538-01,LEC,24158,Environmnt Planning/Management,None,UT,1720-1835,19-413,Open,Closed
CRP 583-01,LEC,23493,Urban Informatics,BAQER AL-RAMADAN,MW,1845-2000,59-1009,Closed,Closed
CRP 590-01,LEC,24159,ST:City & Regional Planning,YOSE KADRIN,UT,1720-1835,19-405,Open,Closed
CRP 619-01,PRJ,23066,Project,HABIB AL-SHUWAIKHAT,UT,1845-2000,59-2021,Closed,Closed
EE  201-01,LEC,22721,Electric Circuits I,JHONATHAN PRIETO ROJAS,UTR,0800-0850,59-1011,Open,Closed
EE  201-02,LEC,22722,Electric Circuits I,A ZIDOURI,UTR,1000-1050,59-2017,Closed,Closed
EE  203-02,LEC,23044,Electronics I,HUSAIN AL-ZAHER,UTR,0800-0850,59-1007,Open,Closed
EE  203-03,LEC,23045,Electronics I,HUSAIN AL-ZAHER,UTR,0900-0950,59-1013,Closed,Open
EE  203-04,LEC,23046,Electronics I,K GASMI,UTR,1000-1050,59-2023,Closed,Open
EE  203-09,LEC,23048,Electronics I,K GASMI,UTR,1200-1250,59-2004,Closed,Open
EE  204-01,LEC,20425,Fundamentals of Electrical Circuits (Non EE students),ADIL BALGHONAIM,UT,1000-1050,59-2009,Closed,Open
EE  204-02,LEC,21560,Fundamentals of Electrical Circuits (Non EE students),ADIL BALGHONAIM,UT,1100-1150,59-2009,Closed,Open
EE  204-03,LEC,20422,Fundamentals of Electrical Circuits (Non EE students),ADIL BALGHONAIM,MW,1100-1150,59-1003,Closed,Open
EE  204-04,LEC,20424,Fundamentals of Electrical Circuits (Non EE students),ADIL BALGHONAIM,MW,1000-1050,59-1003,Closed,Open
EE  204-05,LEC,24487,Fundamentals of Electrical Circuits (Non EE students),ALI AL-RESHAID,UT,1300-1350,59-2013,Open,Closed
EE  204-51,LAB,20426,Fundamentals of Electrical Circuits (Non EE students),ABDULLAH SHAH,U,1400-1640,59-0070,Closed,Closed
EE  204-53,LAB,20428,Fundamentals of Electrical Circuits (Non EE students),None,M,0800-1040,59-0070,Open,Closed
EE  204-54,LAB,20429,Fundamentals of Electrical Circuits (Non EE students),None,M,1100-1340,59-0070,Closed,Closed
EE  204-55,LAB,20430,Fundamentals of Electrical Circuits (Non EE students),UMAR JOHAR,M,1400-1640,59-0070,Closed,Closed
EE  204-59,LAB,20431,Fundamentals of Electrical Circuits (Non EE students),AMMAR MUQBEL,T,1400-1640,59-0070,Closed,Closed
EE  204-60,LAB,20432,Fundamentals of Electrical Circuits (Non EE students),None,W,0800-1040,59-0070,Open,Closed
EE  204-61,LAB,20433,Fundamentals of Electrical Circuits (Non EE students),UMAR JOHAR,W,1100-1340,59-0070,Closed,Closed
EE  204-62,LAB,20939,Fundamentals of Electrical Circuits (Non EE students),None,W,1400-1640,59-0070,Closed,Closed
EE  204-63,LAB,22150,Fundamentals of Electrical Circuits (Non EE students),ABDULLAH SHAH,R,1400-1640,59-0070,Open,Closed
EE  207-01,LEC,23594,Signals and Systems,FAHHAD AL HARBI,UTR,0900-0950,59-2004,Closed,Open
EE  207-02,LEC,21048,Signals and Systems,MOHAMMAD ALHASSOUN,UTR,1000-1050,59-2022,Open,Closed
EE  207-03,LEC,21562,Signals and Systems,FAHHAD AL HARBI,UTR,1100-1150,59-2021,Open,Open
